name_m,is_m,det_m,lexeme_m,from_m,state_m,pro_m,likes_m,activity_m,name_m2,is_m2,det_m2,lexeme_m2,from_m2,state_m2,pro_m2,likes_m2,activity_m2,name,be,det,target,prep,state,pro,like,activity,question1,answer1,question2,answer2,gender,lexeme,orthog,condition,id
,,,,,,,,,,,,,,,,,,NAME,is,a,salesperson,from,Maine.,He,likes,hiking.,Does NAME like hiking?,Yes,Is NAME from Maine?,Yes,male,salesperson,salesman,neutral_male,salesperson_neutral_male
,,,,,,,,,,,,,,,,,,NAME,is,a,salesman,from,Maine.,He,likes,hiking.,Does NAME like hiking?,Yes,Is NAME from Maine?,Yes,male,salesperson,salesman,congruent_male,salesperson_congruent_male
,,,,,,,,,,,,,,,,,,NAME,is,a,stunt double,from,Illinois.,She,likes,dancing.,Does NAME like hiking?,No,Is NAME from Illinois?,Yes,female,stunt double,stuntwoman,neutral_female,stunt double_neutral_female
,,,,,,,,,,,,,,,,,,NAME,is,a,stuntwoman,from,Illinois.,She,likes,dancing.,Does NAME like hiking?,No,Is NAME from Illinois?,Yes,female,stunt double,stuntwoman,congruent_female,stunt double_congruent_female
,,,,,,,,,,,,,,,,,,NAME,is,a,stunt double,from,Illinois.,He,likes,dancing.,Does NAME like hiking?,No,Is NAME from Illinois?,Yes,male,stunt double,stuntman,neutral_male,stunt double_neutral_male
,,,,,,,,,,,,,,,,,,NAME,is,a,stuntman,from,Illinois.,He,likes,dancing.,Does NAME like hiking?,No,Is NAME from Illinois?,Yes,male,stunt double,stuntman,congruent_male,stunt double_congruent_male
,,,,,,,,,,,,,,,,,,NAME,is,a,villain,from,New York.,She,likes,running.,Does NAME like running?,Yes,Is NAME from Arkansas?,No,female,villain,villainess,neutral_female,villain_neutral_female
,,,,,,,,,,,,,,,,,,NAME,is,a,villainess,from,New York.,She,likes,running.,Does NAME like running?,Yes,Is NAME from Arkansas?,No,female,villain,villainess,congruent_female,villain_congruent_female
,,,,,,,,,,,,,,,,,,NAME,is,a,villain,from,New York.,He,likes,running.,Does NAME like running?,Yes,Is NAME from Arkansas?,No,male,villain,villain,neutral_male,villain_neutral_male
,,,,,,,,,,,,,,,,,,NAME,is,a,villain,from,New York.,He,likes,running.,Does NAME like running?,Yes,Is NAME from Arkansas?,No,male,villain,villain,congruent_male,villain_congruent_male
,,,,,,,,,,,,,,,,,,NAME,is,a,meteorologist,from,Arkansas.,She,likes,singing.,Does NAME like cooking?,No,Is NAME from Nebraska?,No,female,meteorologist,weatherwoman,neutral_female,meteorologist_neutral_female
,,,,,,,,,,,,,,,,,,NAME,is,a,weatherwoman,from,Arkansas.,She,likes,singing.,Does NAME like cooking?,No,Is NAME from Nebraska?,No,female,meteorologist,weatherwoman,congruent_female,meteorologist_congruent_female
,,,,,,,,,,,,,,,,,,NAME,is,a,meteorologist,from,Arkansas.,He,likes,singing.,Does NAME like cooking?,No,Is NAME from Nebraska?,No,male,meteorologist,weatherman,neutral_male,meteorologist_neutral_male
,,,,,,,,,,,,,,,,,,NAME,is,a,weatherman,from,Arkansas.,He,likes,singing.,Does NAME like cooking?,No,Is NAME from Nebraska?,No,male,meteorologist,weatherman,congruent_male,meteorologist_congruent_male
